Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,721.25,753.2,SL HIT,2024-03-18 00:00:00,Not Hit,728.0,-0.7,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,,,At/Below Slow EMA,4,723.11,721.53,724.67,719.6,751.48,SL HIT,2024-03-20 00:00:00,Not Hit,725.83,-0.7,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,,,At/Below Slow EMA,6,721.94,721.14,722.88,717.82,749.63,SL HIT,2024-03-26 00:00:00,Not Hit,725.38,-0.7,2d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,755.62,748.03,765.65,760.29,793.98,SL HIT,2024-04-22 00:00:00,Not Hit,778.7,-0.7,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,,,Between Slow & Fast EMA,19,757.05,752.17,764.75,759.4,793.05,SL HIT,2024-04-30 00:00:00,Not Hit,769.75,-0.7,1d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,,,Between Slow & Fast EMA,23,759.64,755.34,761.33,756.0,789.5,SL HIT,2024-05-07 00:00:00,Not Hit,762.02,-0.7,1d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,750.39,746.78,757.42,752.12,785.44,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,3.7,2d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,,,At/Below Slow EMA,7,759.59,753.51,775.9,770.47,804.61,TARGET HIT,Not Hit,2024-06-18 00:00:00,805.25,3.7,8d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,816.93,816.16,818.67,812.94,848.96,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,3.7,11d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,,,At/Below Slow EMA,7,817.65,816.61,820.9,815.15,851.27,SL HIT,2024-09-09 00:00:00,Not Hit,824.95,-0.7,3d
