Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-15 00:00:00,725.0,729.65,721.12,726.33,,,Between Slow & Fast EMA,2,722.7,721.0,726.33,708.17,748.12,TARGET HIT,Not Hit,2024-04-04 00:00:00,765.0,3.0,12d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-19 00:00:00,717.75,726.2,717.75,724.67,,,At/Below Slow EMA,4,723.11,721.53,724.67,706.55,746.41,TARGET HIT,Not Hit,2024-04-02 00:00:00,747.42,3.0,8d
HDFCBANK,1d,EMA10/EMA20,2024-03-13 00:00:00,2024-03-21 00:00:00,721.3,725.62,719.15,722.88,,,At/Below Slow EMA,6,721.94,721.14,722.88,704.81,744.57,TARGET HIT,Not Hit,2024-04-02 00:00:00,747.42,3.0,6d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,,,At/Below Slow EMA,13,755.62,748.03,765.65,746.51,788.62,SL HIT,2024-05-08 00:00:00,Not Hit,778.7,-2.5,12d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-04-29 00:00:00,757.5,767.23,753.27,764.75,,,Between Slow & Fast EMA,19,757.05,752.17,764.75,745.63,787.69,SL HIT,2024-05-08 00:00:00,Not Hit,770.3,-2.5,6d
HDFCBANK,1d,EMA10/EMA20,2024-03-28 00:00:00,2024-05-06 00:00:00,761.0,767.25,758.58,761.33,,,Between Slow & Fast EMA,23,759.64,755.34,761.33,742.3,784.17,SL HIT,2024-05-08 00:00:00,Not Hit,762.02,-2.5,2d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-05-30 00:00:00,749.6,761.8,748.83,757.42,,,Between Slow & Fast EMA,3,750.39,746.78,757.42,738.48,780.14,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,3.0,2d
HDFCBANK,1d,EMA10/EMA20,2024-05-27 00:00:00,2024-06-05 00:00:00,747.02,779.8,741.17,775.9,,,At/Below Slow EMA,7,759.59,753.51,775.9,756.5,799.18,TARGET HIT,Not Hit,2024-06-14 00:00:00,799.5,3.0,7d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-03 00:00:00,817.0,819.98,812.3,818.67,,,At/Below Slow EMA,6,816.93,816.16,818.67,798.2,843.23,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,3.0,11d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-04 00:00:00,819.5,822.4,816.0,820.9,,,At/Below Slow EMA,7,817.65,816.61,820.9,800.38,845.53,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,3.0,10d
HDFCBANK,1d,EMA10/EMA20,2024-08-26 00:00:00,2024-09-09 00:00:00,819.0,824.25,815.05,823.25,,,At/Below Slow EMA,10,819.41,817.88,823.25,802.67,847.95,TARGET HIT,Not Hit,2024-09-18 00:00:00,849.45,3.0,7d
